Beneficiary ID,Age,Gender,State,District,Program Category,Enrollment Date,Program Completion Status,Attendance Percentage,Training Hours,Funds Allocated,Funds Utilized,Volunteer Count,Satisfaction Score,Employment Obtained After Training (Yes/No),Monthly Donation Amount,Donor Type,Event Participation Count
BEN-00027,16,Female,Maharashtra,Pune,Skill Development,2023-01-02,Completed,83.31,207,26700.0,24466.62,8,5.0,Yes,33800.0,CSR,3
BEN-00028,31,Male,Karnataka,Bangalore,Education,2025-06-21,Completed,93.61,72,5500.0,4402.45,4,5.0,No,5900.0,Corporate,3
BEN-00029,21,Male,Karnataka,Bangalore,Health Awareness,2024-08-30,Completed,76.14,11,1900.0,1349.53,6,4.0,No,0.0,None,4
BEN-00030,25,Female,Uttar Pradesh,Varanasi,Skill Development,2022-11-01,Completed,75.93,209,26400.0,23727.83,4,4.0,No,0.0,None,3
BEN-00031,21,Male,Uttar Pradesh,Lucknow,Digital Literacy,2025-08-02,Completed,71.7,56,9700.0,8526.75,6,3.0,No,0.0,None,1
BEN-00032,46,Male,West Bengal,Kolkata,Health Awareness,2025-05-05,Completed,61.31,12,2000.0,1769.8,1,4.0,No,1500.0,Individual,4
BEN-00033,27,Male,Uttar Pradesh,Kanpur,Women Empowerment,2025-03-06,Completed,93.94,122,19400.0,18879.07,10,4.0,No,0.0,None,0
BEN-00034,17,Male,Uttar Pradesh,Lucknow,Skill Development,2025-07-03,Completed,61.67,208,18500.0,18000.48,4,3.0,No,16400.0,Corporate,1
BEN-00035,36,Female,Maharashtra,Pune,Skill Development,2024-09-05,Completed,76.13,224,18500.0,14322.64,5,3.0,No,0.0,None,1
BEN-00036,15,Female,Karnataka,Mysore,Skill Development,2024-03-13,Completed,66.27,206,25300.0,23209.98,2,3.0,No,25300.0,Government,3
BEN-00037,30,Male,Karnataka,Mysore,Skill Development,2023-08-14,Completed,72.05,230,20400.0,17238.71,1,4.0,No,0.0,None,3
BEN-00038,15,Female,West Bengal,Kolkata,Health Awareness,2022-10-24,Completed,90.69,13,2900.0,2460.91,8,4.0,No,0.0,None,6
BEN-00039,15,Male,Maharashtra,Nagpur,Skill Development,2024-06-07,Completed,81.76,189,22100.0,17236.71,8,5.0,Yes,22100.0,Government,3
BEN-00040,29,Female,Uttar Pradesh,Kanpur,Health Awareness,2025-08-23,Completed,80.45,13,2500.0,2462.22,5,5.0,No,0.0,None,3
BEN-00041,35,Male,Maharashtra,Nagpur,Education,2024-07-30,Completed,81.66,82,8000.0,7167.57,2,5.0,No,0.0,None,3
BEN-00042,29,Male,Karnataka,Bangalore,Education,2025-09-28,Dropped Out,66.76,76,8600.0,7550.51,8,2.0,No,0.0,None,4
BEN-00043,26,Female,Uttar Pradesh,Kanpur,Digital Literacy,2023-07-15,Completed,64.57,61,8200.0,6470.68,7,3.0,No,0.0,None,2
BEN-00044,24,Female,Uttar Pradesh,Lucknow,Women Empowerment,2024-12-19,Completed,88.72,133,23100.0,23701.94,4,5.0,No,24500.0,Corporate,1
BEN-00045,15,Male,Uttar Pradesh,Varanasi,Skill Development,2024-10-16,Completed,60.93,209,22400.0,17505.3,9,4.0,No,0.0,None,0
BEN-00046,20,Male,Maharashtra,Nagpur,Skill Development,2024-11-15,Completed,96.88,236,17100.0,15871.59,1,5.0,Yes,0.0,None,2
BEN-00047,23,Female,Karnataka,Mysore,Education,2024-10-11,Completed,67.92,88,6000.0,5168.92,1,,No,0.0,None,0
BEN-00048,38,Male,Delhi,New Delhi,Health Awareness,2022-10-19,Completed,74.03,12,1600.0,1374.9,5,3.0,No,1800.0,Corporate,2
BEN-00049,31,Female,West Bengal,Kolkata,Education,2022-04-18,Completed,71.79,71,8800.0,8773.39,1,4.0,No,7700.0,Corporate,1
BEN-00050,15,Female,Uttar Pradesh,Lucknow,Women Empowerment,2025-12-06,Ongoing,92.87,117,12200.0,9578.9,7,,No,12500.0,CSR,5
BEN-00051,31,Male,West Bengal,Kolkata,Women Empowerment,2021-06-30,Completed,80.85,120,15500.0,13506.08,2,5.0,Yes,2100.0,Individual,2
BEN-00052,24,Male,Karnataka,Mysore,Digital Literacy,2024-01-20,Dropped Out,51.39,64,8500.0,8887.91,9,3.0,No,8200.0,CSR,4
BEN-00053,21,Male,Uttar Pradesh,Lucknow,Skill Development,2023-11-10,Completed,73.88,212,26100.0,26112.55,9,4.0,No,0.0,None,1
BEN-00054,34,Male,West Bengal,Kolkata,Education,2023-07-20,Completed,98.68,81,9900.0,8538.8,8,4.0,No,0.0,None,2
BEN-00055,38,Female,Uttar Pradesh,Lucknow,Women Empowerment,2025-04-12,Completed,75.04,121,21900.0,17411.51,3,4.0,No,0.0,None,0
BEN-00056,37,Male,Karnataka,Mysore,Education,2025-02-23,Completed,74.66,85,5300.0,4571.81,5,3.0,No,900.0,Individual,1
BEN-00057,19,Female,Karnataka,Mysore,Education,2025-09-11,Completed,67.86,73,9600.0,9935.67,9,,No,8700.0,CSR,3
BEN-00058,24,Female,Karnataka,Mysore,Education,2023-09-21,Completed,73.9,93,9900.0,8784.08,1,4.0,No,0.0,None,2
BEN-00059,31,Female,Maharashtra,Nagpur,Skill Development,2024-06-17,Completed,93.9,159,28000.0,26393.65,5,4.0,Yes,33100.0,CSR,3
BEN-00060,37,Female,Uttar Pradesh,Varanasi,Education,2025-08-26,Completed,75.74,91,7400.0,6507.03,2,4.0,No,0.0,None,3
BEN-00061,23,Female,Maharashtra,Mumbai,Skill Development,2025-12-23,Ongoing,81.84,199,19900.0,18885.11,5,,No,19900.0,Government,1
BEN-00062,26,Female,Maharashtra,Pune,Digital Literacy,2025-11-25,Ongoing,80.24,66,8700.0,7316.51,8,,No,0.0,None,2
BEN-00063,16,Female,Karnataka,Mysore,Health Awareness,2025-01-18,Completed,86.09,12,2000.0,1648.18,1,5.0,No,0.0,None,2
BEN-00064,16,Female,Karnataka,Bangalore,Education,2022-04-17,Completed,71.39,82,7000.0,5258.09,1,4.0,No,6300.0,CSR,4
BEN-00065,36,Male,West Bengal,Howrah,Education,2021-04-08,Completed,71.74,84,5200.0,4506.02,9,3.0,No,0.0,None,4
BEN-00066,41,Female,Uttar Pradesh,Lucknow,Women Empowerment,2025-06-05,Completed,79.27,129,21600.0,20635.96,10,4.0,No,23700.0,CSR,1
BEN-00067,27,Female,Karnataka,Bangalore,Digital Literacy,2025-06-25,Completed,75.16,58,8300.0,6693.43,10,3.0,No,2700.0,Individual,2
BEN-00068,38,Male,West Bengal,Kolkata,Education,2025-02-25,Completed,85.65,88,6600.0,6128.82,8,5.0,No,0.0,None,5
BEN-00069,31,Male,Karnataka,Bangalore,Health Awareness,2023-02-18,Completed,70.61,10,2700.0,2453.63,5,3.0,No,2500.0,Corporate,5
BEN-00070,21,Male,Uttar Pradesh,Kanpur,Women Empowerment,2024-10-04,Completed,70.8,119,21700.0,21271.98,4,3.0,No,2200.0,Individual,2
BEN-00071,31,Female,Uttar Pradesh,Kanpur,Skill Development,2023-04-30,Completed,69.15,216,23900.0,21952.54,10,3.0,No,0.0,None,2
BEN-00072,43,Male,Uttar Pradesh,Varanasi,Digital Literacy,2023-12-23,Completed,94.82,65,9200.0,7746.05,2,4.0,Yes,0.0,None,7
BEN-00073,27,Female,Delhi,New Delhi,Health Awareness,2023-08-29,Completed,68.44,12,3300.0,2687.21,9,4.0,No,0.0,None,0
BEN-00074,43,Female,Delhi,South Delhi,Digital Literacy,2025-09-21,Dropped Out,57.67,57,10700.0,9417.92,1,3.0,No,2200.0,Individual,1
BEN-00075,15,Female,West Bengal,Kolkata,Skill Development,2022-11-16,Dropped Out,57.05,217,22800.0,20441.61,5,2.0,No,0.0,None,0
BEN-00076,36,Male,Maharashtra,Mumbai,Women Empowerment,2024-07-06,Completed,68.59,111,17900.0,15230.14,9,3.0,Yes,16600.0,Corporate,4
BEN-00077,28,Female,Uttar Pradesh,Lucknow,Women Empowerment,2023-07-22,Completed,68.85,141,22800.0,18104.99,6,4.0,No,22200.0,CSR,2
BEN-00078,25,Female,Delhi,South Delhi,Skill Development,2024-11-05,Dropped Out,56.12,198,15600.0,11514.68,2,2.0,No,0.0,None,1
BEN-00079,28,Female,Karnataka,Mysore,Women Empowerment,2024-06-17,Completed,64.07,101,24900.0,16052.28,10,4.0,Yes,0.0,None,4
BEN-00080,15,Male,West Bengal,Howrah,Education,2025-10-03,Completed,68.96,70,7600.0,6724.17,2,4.0,No,6800.0,Corporate,0
BEN-00081,25,Male,Karnataka,Bangalore,Education,2021-12-25,Dropped Out,75.42,80,7000.0,6137.19,3,3.0,No,7000.0,Government,3
BEN-00082,31,Female,Maharashtra,Mumbai,Skill Development,2022-10-17,Completed,71.53,202,26000.0,22724.72,6,4.0,No,26000.0,Government,0
BEN-00083,42,Male,Delhi,South Delhi,Health Awareness,2025-03-23,Completed,88.23,14,2600.0,2238.5,6,5.0,No,0.0,None,5
BEN-00084,22,Female,Karnataka,Bangalore,Digital Literacy,2023-08-05,Dropped Out,74.44,53,9100.0,9095.08,10,2.0,No,0.0,None,3
BEN-00085,19,Male,Maharashtra,Nagpur,Skill Development,2022-06-12,Completed,70.16,200,24500.0,19947.27,1,3.0,No,0.0,None,4
BEN-00086,22,Female,Uttar Pradesh,Kanpur,Women Empowerment,2024-03-16,Dropped Out,79.96,107,12600.0,9786.81,10,3.0,No,12600.0,Government,4
BEN-00087,37,Male,Uttar Pradesh,Kanpur,Education,2024-10-21,Completed,69.7,76,6500.0,6040.4,4,4.0,No,6100.0,CSR,4
BEN-00088,31,Female,Uttar Pradesh,Kanpur,Digital Literacy,2021-06-28,Completed,88.43,70,8400.0,8107.6,4,4.0,Yes,8800.0,Corporate,3
BEN-00089,22,Male,Delhi,New Delhi,Women Empowerment,2023-03-14,Completed,75.22,106,16000.0,13479.46,3,3.0,No,17800.0,Corporate,6
BEN-00090,33,Female,Uttar Pradesh,Varanasi,Health Awareness,2025-05-16,Completed,85.54,12,3200.0,3097.34,2,4.0,No,3700.0,CSR,2
BEN-00091,28,Female,Uttar Pradesh,Noida,Health Awareness,2024-04-11,Completed,82.7,12,2400.0,2085.05,10,5.0,No,0.0,None,1
BEN-00092,37,Female,Uttar Pradesh,Noida,Skill Development,2021-05-25,Completed,66.69,199,21300.0,17412.34,9,3.0,No,21300.0,Government,3
BEN-00093,20,Male,Maharashtra,Nagpur,Skill Development,2023-02-22,Completed,76.89,210,24200.0,21001.3,10,4.0,No,24300.0,Corporate,2
BEN-00094,24,Female,Maharashtra,Nagpur,Digital Literacy,2024-10-03,Completed,100.0,53,6300.0,5218.11,6,5.0,Yes,6300.0,Government,2
BEN-00095,24,Male,Delhi,South Delhi,Education,2022-08-31,Completed,100.0,93,7600.0,6409.88,4,5.0,No,8900.0,CSR,2
BEN-00096,15,Female,Uttar Pradesh,Kanpur,Women Empowerment,2025-06-08,Completed,97.05,143,13800.0,12722.72,4,4.0,No,0.0,None,3
BEN-00097,30,Male,Uttar Pradesh,Kanpur,Digital Literacy,2024-11-23,Completed,75.94,60,11000.0,8854.04,4,4.0,No,9900.0,Corporate,3
BEN-00098,30,Male,Maharashtra,Pune,Skill Development,2024-01-26,Dropped Out,47.2,248,21800.0,17494.64,6,1.0,No,0.0,None,6
BEN-00099,28,Male,Uttar Pradesh,Noida,Digital Literacy,2025-09-23,Completed,78.12,57,10300.0,9803.29,6,3.0,No,10300.0,Government,2
BEN-00100,25,Male,Uttar Pradesh,Noida,Digital Literacy,2023-09-15,Completed,77.38,62,6700.0,4484.01,8,3.0,No,8000.0,CSR,3
BEN-00101,15,Male,Uttar Pradesh,Kanpur,Health Awareness,2022-11-18,Completed,66.0,13,3100.0,2890.36,10,3.0,No,0.0,None,4
BEN-00102,23,Female,Karnataka,Bangalore,Education,2024-11-03,Completed,64.58,76,9700.0,8634.23,9,4.0,No,0.0,None,0
BEN-00103,24,Male,Delhi,New Delhi,Skill Development,2024-06-30,Dropped Out,41.12,172,25400.0,25928.65,10,2.0,No,24600.0,CSR,1
BEN-00104,19,Female,Uttar Pradesh,Lucknow,Education,2023-06-05,Completed,93.34,67,5700.0,5156.15,6,4.0,No,5400.0,Corporate,3
BEN-00105,26,Male,Uttar Pradesh,Noida,Health Awareness,2023-06-21,Dropped Out,52.6,14,2300.0,1969.69,7,3.0,No,0.0,None,1
BEN-00106,32,Male,West Bengal,Kolkata,Health Awareness,2023-09-26,Completed,67.37,11,2400.0,2361.45,8,3.0,No,2500.0,CSR,2
BEN-00107,46,Female,Delhi,South Delhi,Women Empowerment,2023-03-13,Completed,69.5,117,14300.0,12168.85,3,3.0,No,13400.0,Corporate,2
BEN-00108,29,Female,Maharashtra,Nagpur,Skill Development,2025-01-08,Completed,83.03,177,23900.0,19621.47,3,5.0,Yes,0.0,None,1
BEN-00109,30,Female,Delhi,New Delhi,Education,2024-10-20,Completed,76.67,87,8600.0,7352.42,9,4.0,No,0.0,None,2
BEN-00110,27,Male,Karnataka,Mysore,Health Awareness,2023-12-07,Completed,68.02,11,1900.0,1764.59,2,3.0,No,2200.0,CSR,1
BEN-00111,15,Male,Karnataka,Mysore,Health Awareness,2023-09-25,Dropped Out,71.95,11,2400.0,1898.57,7,1.0,No,0.0,None,3
BEN-00112,27,Male,Maharashtra,Nagpur,Digital Literacy,2023-07-29,Completed,68.02,61,7500.0,6523.28,2,4.0,No,0.0,None,2
BEN-00113,28,Male,Maharashtra,Pune,Health Awareness,2023-02-25,Completed,85.05,10,2900.0,2725.24,7,5.0,No,0.0,None,2
BEN-00114,52,Male,Uttar Pradesh,Varanasi,Health Awareness,2021-11-08,Completed,80.5,11,3300.0,2652.86,9,5.0,No,0.0,None,2
BEN-00115,26,Female,West Bengal,Kolkata,Health Awareness,2023-01-26,Completed,85.08,13,3100.0,2722.72,2,5.0,No,3100.0,Government,1
BEN-00116,31,Female,Delhi,New Delhi,Women Empowerment,2023-05-10,Completed,75.35,125,21300.0,16894.88,10,3.0,Yes,0.0,None,1
BEN-00117,27,Male,Uttar Pradesh,Varanasi,Skill Development,2024-05-23,Dropped Out,57.17,202,16900.0,14170.14,1,2.0,No,0.0,None,0
BEN-00118,16,Male,West Bengal,Howrah,Digital Literacy,2025-04-01,Completed,80.71,61,6700.0,6932.19,7,5.0,Yes,0.0,None,4
BEN-00119,39,Male,West Bengal,Kolkata,Women Empowerment,2023-09-21,Completed,77.92,115,17800.0,14082.33,5,3.0,No,16500.0,Corporate,2
BEN-00120,35,Female,West Bengal,Howrah,Skill Development,2025-10-28,Completed,53.71,239,20400.0,14867.46,3,3.0,No,20400.0,Government,3
BEN-00121,35,Female,Karnataka,Mysore,Education,2025-06-08,Completed,58.65,73,7600.0,6514.72,3,4.0,No,1100.0,Individual,1
BEN-00122,18,Female,West Bengal,Kolkata,Skill Development,2025-12-13,Ongoing,83.22,204,20800.0,20496.67,8,,No,16700.0,Corporate,1
BEN-00123,42,Female,Uttar Pradesh,Kanpur,Skill Development,2025-08-07,Dropped Out,57.81,202,26900.0,25458.49,6,3.0,No,0.0,None,2
BEN-00124,15,Female,Karnataka,Bangalore,Skill Development,2024-09-01,Completed,86.6,220,22700.0,21796.68,5,4.0,Yes,0.0,None,3
BEN-00125,33,Male,Karnataka,Mysore,Education,2024-08-06,Completed,92.45,88,9700.0,8834.17,4,5.0,No,9900.0,Corporate,2
BEN-00126,49,Female,Uttar Pradesh,Noida,Skill Development,2022-03-12,Completed,65.15,199,20700.0,17940.85,1,4.0,No,0.0,None,5
BEN-00127,18,Male,Uttar Pradesh,Lucknow,Education,2025-01-24,Completed,76.96,82,6900.0,6733.99,5,4.0,No,8900.0,CSR,2
BEN-00128,22,Female,West Bengal,Howrah,Health Awareness,2024-08-08,Completed,78.4,12,3000.0,2724.95,3,3.0,No,0.0,None,4
BEN-00129,28,Male,Uttar Pradesh,Noida,Skill Development,2024-03-22,Completed,73.36,154,28700.0,26048.85,4,4.0,No,0.0,None,4
BEN-00130,22,Female,Karnataka,Bangalore,Women Empowerment,2024-12-16,Completed,64.47,100,19400.0,15868.16,10,4.0,No,19400.0,Government,3
BEN-00131,15,Female,Uttar Pradesh,Varanasi,Education,2023-12-12,Completed,89.99,75,8300.0,7996.03,2,4.0,No,0.0,None,4
BEN-00132,28,Female,Uttar Pradesh,Noida,Skill Development,2024-04-17,Completed,79.5,188,17300.0,16779.8,2,4.0,No,17300.0,Government,3
BEN-00133,17,Male,Maharashtra,Nagpur,Skill Development,2023-09-26,Completed,87.24,176,28000.0,26900.89,8,4.0,No,0.0,None,1
BEN-00134,32,Male,Uttar Pradesh,Lucknow,Health Awareness,2025-01-17,Completed,83.87,12,1900.0,1517.75,5,5.0,No,0.0,None,1
BEN-00135,18,Female,Delhi,South Delhi,Health Awareness,2025-08-07,Completed,79.75,12,2900.0,2585.27,10,3.0,No,1500.0,Individual,4
BEN-00136,43,Female,Maharashtra,Pune,Education,2025-06-25,Dropped Out,57.06,78,7100.0,6640.78,5,3.0,No,2700.0,Individual,1
BEN-00137,20,Male,Uttar Pradesh,Lucknow,Women Empowerment,2025-04-17,Dropped Out,71.82,104,16000.0,15443.74,3,1.0,No,0.0,None,3
BEN-00138,24,Female,Uttar Pradesh,Lucknow,Education,2021-03-01,Completed,61.57,79,8800.0,7375.9,9,3.0,No,700.0,Individual,2
BEN-00139,36,Female,Maharashtra,Pune,Digital Literacy,2025-09-19,Completed,80.26,44,8700.0,7224.06,1,4.0,Yes,8700.0,Government,4
BEN-00140,15,Male,Uttar Pradesh,Varanasi,Digital Literacy,2023-02-08,Completed,62.42,59,9800.0,8819.34,6,4.0,No,0.0,None,1
BEN-00141,30,Male,Karnataka,Bangalore,Women Empowerment,2025-08-21,Dropped Out,45.47,120,13500.0,10833.84,8,2.0,No,15100.0,Corporate,2
BEN-00142,41,Female,Maharashtra,Mumbai,Women Empowerment,2022-08-25,Completed,75.31,122,13700.0,11666.01,2,3.0,Yes,13700.0,Government,5
BEN-00143,15,Female,Uttar Pradesh,Noida,Health Awareness,2023-12-05,Completed,66.31,10,1900.0,1513.57,8,4.0,No,1900.0,Government,3
BEN-00144,29,Male,Maharashtra,Nagpur,Health Awareness,2025-03-01,Completed,62.35,12,2700.0,2766.67,5,3.0,No,0.0,None,5
BEN-00145,30,Female,Uttar Pradesh,Lucknow,Women Empowerment,2024-10-04,Completed,68.9,107,15300.0,15639.42,5,3.0,Yes,15300.0,Government,4
BEN-00146,35,Female,Uttar Pradesh,Lucknow,Digital Literacy,2023-10-26,Completed,84.07,55,8800.0,9349.82,6,4.0,Yes,0.0,None,0
BEN-00147,15,Male,Uttar Pradesh,Kanpur,Women Empowerment,2024-11-26,Completed,69.14,128,23100.0,22696.63,2,4.0,No,21500.0,CSR,5
BEN-00148,15,Male,Karnataka,Bangalore,Women Empowerment,2024-05-25,Dropped Out,58.93,144,19100.0,17542.45,5,3.0,No,0.0,None,1
BEN-00149,33,Female,West Bengal,Kolkata,Health Awareness,2023-02-10,Completed,81.45,12,1500.0,1266.93,2,5.0,No,2200.0,Individual,2
BEN-00150,30,Non-binary,Karnataka,Bangalore,Women Empowerment,2024-10-13,Completed,70.85,110,23500.0,19136.9,1,4.0,No,23600.0,CSR,3
BEN-00151,30,Male,Uttar Pradesh,Kanpur,Health Awareness,2022-09-11,Completed,88.99,12,2000.0,1481.24,4,4.0,No,0.0,None,2
BEN-00152,31,Female,Uttar Pradesh,Noida,Education,2024-12-17,Completed,92.81,87,7900.0,6970.41,1,5.0,No,0.0,None,3
BEN-00153,21,Non-binary,Maharashtra,Pune,Skill Development,2021-01-15,Completed,89.13,212,22100.0,17249.58,4,5.0,Yes,26300.0,Corporate,4
BEN-00154,30,Female,Delhi,South Delhi,Education,2024-05-25,Completed,64.19,101,7100.0,5746.26,8,3.0,No,7100.0,Government,2
BEN-00155,30,Female,West Bengal,Kolkata,Skill Development,2023-10-01,Completed,92.18,185,16200.0,15242.03,8,4.0,No,0.0,None,1
BEN-00156,20,Male,Uttar Pradesh,Noida,Skill Development,2023-04-05,Completed,91.38,205,24000.0,24395.46,2,4.0,No,24700.0,CSR,2
BEN-00157,46,Female,Uttar Pradesh,Varanasi,Digital Literacy,2024-04-04,Completed,61.07,69,7500.0,6731.95,1,4.0,No,0.0,None,1
BEN-00158,32,Female,Delhi,South Delhi,Women Empowerment,2024-10-11,Completed,77.03,137,19100.0,17371.52,9,3.0,No,0.0,None,3
BEN-00159,16,Female,Karnataka,Mysore,Health Awareness,2025-11-21,Ongoing,83.19,9,2700.0,2060.01,1,,No,0.0,None,3
BEN-00160,34,Female,Karnataka,Mysore,Skill Development,2025-06-15,Completed,82.08,199,23400.0,20818.55,5,4.0,Yes,23300.0,Corporate,4
BEN-00161,18,Male,Delhi,South Delhi,Health Awareness,2025-01-17,Completed,78.03,13,3200.0,2711.38,6,3.0,No,3600.0,Corporate,1
BEN-00162,35,Male,West Bengal,Kolkata,Women Empowerment,2024-02-07,Completed,79.44,154,12600.0,10264.24,5,,Yes,0.0,None,0
BEN-00163,39,Non-binary,Maharashtra,Mumbai,Women Empowerment,2023-09-15,Completed,69.23,128,13900.0,13976.03,8,4.0,Yes,15500.0,Corporate,2
BEN-00164,19,Female,West Bengal,Kolkata,Skill Development,2021-05-14,Completed,87.09,192,24800.0,21911.78,10,5.0,No,24800.0,Government,3
BEN-00165,37,Female,West Bengal,Kolkata,Skill Development,2023-07-19,Completed,87.25,179,15600.0,12793.97,5,4.0,No,0.0,None,2
BEN-00166,32,Female,Karnataka,Mysore,Women Empowerment,2025-07-04,Completed,72.35,146,23100.0,18967.08,5,4.0,No,0.0,None,2
BEN-00167,36,Female,Uttar Pradesh,Lucknow,Women Empowerment,2023-09-01,Completed,100.0,128,20700.0,21038.2,6,5.0,No,25300.0,CSR,3
BEN-00168,46,Female,Uttar Pradesh,Noida,Digital Literacy,2024-01-10,Completed,87.12,54,11000.0,11290.41,2,5.0,Yes,2600.0,Individual,2
BEN-00169,25,Male,Maharashtra,Nagpur,Digital Literacy,2023-02-02,Completed,72.25,58,7800.0,5306.0,2,4.0,No,7900.0,Corporate,4
BEN-00170,20,Male,Maharashtra,Mumbai,Digital Literacy,2023-02-07,Completed,61.9,61,11500.0,8251.68,3,4.0,No,0.0,None,2
BEN-00171,19,Non-binary,Karnataka,Bangalore,Women Empowerment,2021-08-25,Completed,83.21,126,12600.0,10806.65,8,4.0,No,0.0,None,3
BEN-00172,19,Female,Uttar Pradesh,Lucknow,Digital Literacy,2024-08-28,Completed,66.03,54,8500.0,8388.67,1,3.0,No,9400.0,Corporate,0
BEN-00173,27,Male,Uttar Pradesh,Lucknow,Health Awareness,2023-12-19,Completed,78.86,11,1900.0,1598.1,7,4.0,No,0.0,None,3
BEN-00174,31,Female,Karnataka,Bangalore,Skill Development,2024-08-17,Completed,84.16,166,25100.0,21471.26,5,5.0,Yes,2100.0,Individual,3
BEN-00175,30,Female,Uttar Pradesh,Lucknow,Skill Development,2024-05-22,Completed,93.54,220,24200.0,22548.6,7,5.0,No,0.0,None,3
BEN-00176,36,Male,Uttar Pradesh,Lucknow,Education,2025-05-03,Completed,68.48,77,8500.0,7230.36,7,3.0,No,9600.0,CSR,3
BEN-00177,28,Male,Maharashtra,Pune,Education,2025-03-03,Completed,66.25,83,8000.0,7164.15,5,3.0,No,0.0,None,3
BEN-00178,42,Female,Delhi,New Delhi,Education,2025-03-29,Completed,61.65,91,8900.0,8362.73,6,3.0,No,2200.0,Individual,2
BEN-00179,25,Female,Uttar Pradesh,Noida,Education,2024-03-10,Completed,80.67,81,5900.0,6063.0,5,4.0,No,5800.0,CSR,3
